Nation,Region,City,ClubName,Prestige
NED,Groningen,Groningen,TriVia,4
NED,Groningen,Groningen,ZPC Stadskanaal,2
NED,Drenthe,Assen,Aqua 68,2
NED,Drenthe,Emmen,Zwemclub Polaris,2
NED,Limburg,Maastricht,MZ&PC,3
NED,Limburg,Venlo,Mosa-Regio,2
BRA,São Paulo,São Paulo,Esporte Clube Pinheiros,5
BRA,São Paulo,São Paulo,Corinthians,5
BRA,São Paulo,São Paulo,SESI-SP,4
BRA,São Paulo,São Paulo,Paineiras do Morumby,4
BRA,São Paulo,Santos,Unisanta,5
BRA,São Paulo,São Bernardo do Campo,Associação São Bernardo,3
BRA,São Paulo,Campinas,Clube Campineiro,3
BRA,São Paulo,São José dos Campos,São José Desportivo,3
BRA,São Paulo,Guarulhos,Guarulhos Natação,3
BRA,São Paulo,Ribeirão Preto,Recreativa,2
BRA,São Paulo,Santo André,Primeiro de Maio,2
BRA,São Paulo,Bauru,Bauru Tênis Clube,2
BRA,São Paulo,Franca,Franca Natação,2
BRA,São Paulo,Piracicaba,Clube de Campo Piracicaba,2
BRA,São Paulo,Jundiaí,Jundiaiense,2
BRA,São Paulo,Sorocaba,Sorocaba Aquatics,2
BRA,São Paulo,Osasco,Osasco Natação,2
BRA,São Paulo,São Caetano do Sul,São Caetano,2
BRA,São Paulo,Araraquara,Araraquarense,2
BRA,São Paulo,Presidente Prudente,Prudentina,2
BRA,Rio de Janeiro,Rio de Janeiro,Flamengo,5
BRA,Rio de Janeiro,Rio de Janeiro,Fluminense,4
BRA,Rio de Janeiro,Rio de Janeiro,Vasco da Gama,4
BRA,Rio de Janeiro,Rio de Janeiro,Botafogo,4
BRA,Rio de Janeiro,Rio de Janeiro,Tijuca Tênis Clube,3
BRA,Rio de Janeiro,Niterói,Canto do Rio,3
BRA,Rio de Janeiro,Macaé,Macaé Natação,2
BRA,Rio de Janeiro,Campos,Campos Aquatics,2
BRA,Rio de Janeiro,Petrópolis,Petropolitano,2
BRA,Rio de Janeiro,Volta Redonda,Volta Redonda Natação,2
BRA,Minas Gerais,Belo Horizonte,Minas Tênis Clube,5
BRA,Minas Gerais,Uberlândia,Praia Clube,4
BRA,Minas Gerais,Belo Horizonte,Mackenzie EC,3
BRA,Minas Gerais,Belo Horizonte,Olympico Club,3
BRA,Minas Gerais,Juiz de Fora,Sport Club Juiz de Fora,2
BRA,Minas Gerais,Contagem,Contagem Aquatics,2
BRA,Minas Gerais,Betim,Betim Natação,2
BRA,Minas Gerais,Uberaba,Uberaba Sport,2
BRA,Minas Gerais,Ipatinga,Usipa,2
BRA,Minas Gerais,Governador Valadares,Filadélfia,2
BRA,Rio Grande do Sul,Porto Alegre,Grêmio Náutico União,5
BRA,Rio Grande do Sul,Porto Alegre,Sogipa,4
BRA,Rio Grande do Sul,Caxias do Sul,Recreio da Juventude,3
BRA,Rio Grande do Sul,Novo Hamburgo,Sociedade Ginástica,3
BRA,Rio Grande do Sul,Pelotas,Pelotas Natação,2
BRA,Rio Grande do Sul,Santa Maria,Clube Dores,2
BRA,Paraná,Curitiba,Curitibano,4
BRA,Paraná,Curitiba,Santa Mônica,3
BRA,Paraná,Londrina,Londrina Country Club,3
BRA,Paraná,Maringá,Maringá Clube,2
BRA,Paraná,Cascavel,Cascavel Natação,2
BRA,Paraná,Ponta Grossa,Ponta Lagoa,2
BRA,Santa Catarina,Florianópolis,Lira Tênis Clube,3
BRA,Santa Catarina,Joinville,Joinville Natação,3
BRA,Santa Catarina,Blumenau,Blumenau Aquatics,2
BRA,Santa Catarina,Criciúma,Mampituba,2
BRA,Pernambuco,Recife,Sport Club do Recife,4
BRA,Pernambuco,Recife,Clube Português,3
BRA,Bahia,Salvador,Yacht Clube da Bahia,3
BRA,Distrito Federal,Brasília,Iate Clube de Brasília,3
ESP,Cataluña,Barcelona,CN Sant Andreu,5
ESP,Cataluña,Sabadell,CN Sabadell,5
ESP,Cataluña,Terrassa,CN Terrassa,4
ESP,Cataluña,Barcelona,CE Mediterrani,4
ESP,Cataluña,Barcelona,CN Barcelona,4
ESP,Cataluña,Mataró,CN Mataró,4
ESP,Cataluña,Barcelona,CN Atletic-Barceloneta,3
ESP,Cataluña,Girona,GEiEG,3
ESP,Cataluña,Tarragona,CN Tarraco,3
ESP,Cataluña,Lleida,CN Lleida,3
ESP,Cataluña,Granollers,CN Granollers,2
ESP,Cataluña,Manresa,CN Minorisa,2
ESP,Cataluña,Badalona,CN Badalona,2
ESP,Cataluña,Cornellà,CN Cornellà,2
ESP,Cataluña,Vic,CN Vic-ETB,2
ESP,Madrid,Madrid,Real Canoe NC,5
ESP,Madrid,Madrid,CD Gredos San Diego,4
ESP,Madrid,Madrid,Madrid Moscardó,4
ESP,Madrid,Alcobendas,CN Alcobendas,3
ESP,Madrid,Leganés,CN Leganés,3
ESP,Madrid,Móstoles,ADN Móstoles,3
ESP,Madrid,Alcorcón,CN Ciudad de Alcorcón,2
ESP,Madrid,Pozuelo,CN Pozuelo,2
ESP,Madrid,Rivas,AD Rivas Natación,2
ESP,Madrid,Alcalá de Henares,CN Alcalá,2
ESP,Andalucía,Sevilla,CN Mairena Aljarafe,4
ESP,Andalucía,Córdoba,Navial,4
ESP,Andalucía,Granada,CN Churriana,4
ESP,Andalucía,Málaga,RC Mediterráneo,3
ESP,Andalucía,Cádiz,CN Bahía de Cádiz,3
ESP,Andalucía,Dos Hermanas,CN Dos Hermanas,3
ESP,Andalucía,Almería,CN Almería,2
ESP,Andalucía,Jaén,CN Jaén,2
ESP,Andalucía,Huelva,CN Colombino,2
ESP,Andalucía,Marbella,CN Marbella,2
ESP,Comunidad Valenciana,Valencia,CN Ferca-San Jose,4
ESP,Comunidad Valenciana,Elche,Club Tenis Elche,4
ESP,Comunidad Valenciana,Castellón,CST-CST Costa Azahar,3
ESP,Comunidad Valenciana,Alicante,CN Delfin,3
ESP,Comunidad Valenciana,Vinaròs,CN Vinaròs,2
ESP,Comunidad Valenciana,Benidorm,CN Benidorm,2
ESP,Galicia,Pontevedra,CN Galaico,3
ESP,Galicia,A Coruña,CN Liceo,3
ESP,Galicia,Ourense,CN Pabellón Ourense,2
ESP,Galicia,Vigo,RCN Vigo,2
ESP,País Vasco,Irun,Bidasoa XXI,4
ESP,País Vasco,Getxo,Getxo Igeriketa W,3
ESP,País Vasco,Vitoria-Gasteiz,Judizmendi,3
ESP,País Vasco,San Sebastián,CD Fortuna,2
ESP,Islas Baleares,Palma,CN Palma de Mallorca,4
ESP,Islas Baleares,Palma,CN Voltor Balear,3
ESP,Islas Baleares,Ibiza,CN Eivissa,2
ESP,Canarias,Las Palmas,CN Metropole,4
ESP,Canarias,Las Palmas,CN Las Palmas,3
ESP,Canarias,Tenerife,RCN Tenerife,2
ESP,Castilla y León,Valladolid,CD Parquesol,2
ESP,Castilla y León,Burgos,CN Castilla-Burgos,2
ESP,Aragón,Zaragoza,Stadium Venecia,3
ESP,Murcia,Murcia,UCAM CN Fuensanta,3
ESP,Asturias,Oviedo,CN Ciudad de Oviedo,2
SWE,Stockholm,Stockholm,SK Neptun,5
SWE,Stockholm,Stockholm,Spårvägens SF,4
SWE,Stockholm,Täby,Täby Sim,4
SWE,Stockholm,Stockholm,Stockholmspolisens IF,4
SWE,Stockholm,Järfälla,Järfälla Simsällskap,3
SWE,Stockholm,Väsby,Väsby SS,3
SWE,Stockholm,Stockholm,Södertörns SS,3
SWE,Stockholm,Danderyd,Danderyds Sim,3
SWE,Stockholm,Tyresö,Tyresö SS,2
SWE,Stockholm,Nacka,Skuru IK,2
SWE,Stockholm,Solna,Solna Sundbyberg SS,2
SWE,Stockholm,Botkyrka,Botkyrka-Rönninge SS,2
SWE,Stockholm,Lidingö,Lidingö SK,2
SWE,Stockholm,Haninge,Södertälje SS,2
SWE,Stockholm,Norrtälje,Norrtälje Sim,2
SWE,Skåne,Malmö,Malmö Kappsimningsklubb,5
SWE,Skåne,Helsingborg,Helsingborgs Simsällskap,5
SWE,Skåne,Lund,SK Poseidon,4
SWE,Skåne,Landskrona,Landskrona Simsällskap,3
SWE,Skåne,Kristianstad,Kristianstads SLS,3
SWE,Skåne,Ystad,Ystads Simsällskap,2
SWE,Skåne,Ängelholm,Ängelholms SS,2
SWE,Skåne,Hässleholm,S71 Hässleholm,2
SWE,Skåne,Trelleborg,Trelleborgs Sim,2
SWE,Skåne,Kävlinge,Kävlinge SK,2
SWE,Västra Götaland,Göteborg,Göteborg Sim,4
SWE,Västra Götaland,Mölndal,Mölndals Allmänna SS,4
SWE,Västra Götaland,Borås,SK Elfsborg,4
SWE,Västra Götaland,Uddevalla,Uddevalla Sim,3
SWE,Västra Götaland,Skövde,Skövde Simsällskap,3
SWE,Västra Götaland,Kungsbacka,Kungsbacka Simsällskap,3
SWE,Västra Götaland,Trollhättan,Trollhättans SS,2
SWE,Västra Götaland,Falköping,Falköpings SS,2
SWE,Västra Götaland,Alingsås,Alingsås SLS,2
SWE,Västra Götaland,Lidköping,Lidköpings GSS,2
SWE,Östergötland,Linköping,Linköpings Allmänna SS,4
SWE,Östergötland,Norrköping,Norrköpings KK,4
SWE,Östergötland,Motala,Motala Simsällskap,2
SWE,Östergötland,Mjölby,Mjölby-Ödeshög Sim,2
SWE,Östergötland,Finspång,Finspångs Sim,2
SWE,Småland,Jönköping,Jönköpings Simsällskap,5
SWE,Småland,Växjö,Växjö Simsällskap,3
SWE,Småland,Kalmar,Kalmar Simsällskap,3
SWE,Småland,Värnamo,Värnamo Simsällskap,2
SWE,Småland,Västervik,Västerviks SS,2
SWE,Uppland,Uppsala,Upsala Simsällskap,4
SWE,Uppland,Enköping,Enköpings SS,2
SWE,Uppland,Bålsta,Bålsta Sim,2
SWE,Uppland,Östhammar,Östhammar SK,2
SWE,Halland,Halmstad,SK Laxen,3
SWE,Halland,Varberg,Varbergs Sim,3
SWE,Halland,Falkenberg,Falkenbergs Sim,2
SWE,Värmland,Karlstad,Karlstads Simsällskap,3
SWE,Värmland,Säffle,Säffle SS,2
SWE,Örebro,Örebro,Örebro Simallians,3
SWE,Örebro,Karlskoga,Karlskoga SF,2
SWE,Västmanland,Västerås,Västerås Simsällskap,3
SWE,Västmanland,Köping,Köpings SS,2
SWE,Norrland,Umeå,Umeå Simsällskap,3
SWE,Norrland,Sundsvall,Sundsvalls SS,3
RSA,Gauteng,Pretoria,TuksSwimming Club,5
RSA,Gauteng,Johannesburg,Waterborn Swimming Club,5
RSA,Gauteng,Johannesburg,Mandeville Dolphins,4
RSA,Gauteng,Pretoria,HPC Pretoria,4
RSA,Gauteng,Johannesburg,Linden Swimming Club,3
RSA,Gauteng,Ekurhuleni,Boksburg Aquatics,3
RSA,Gauteng,Pretoria,PSC Swimming,3
RSA,Gauteng,Johannesburg,Electric Eels,3
RSA,Gauteng,Pretoria,Hillcrest Swimming,2
RSA,Gauteng,Johannesburg,Soweto Aquatics,2
RSA,Gauteng,Kempten Park,Kempton Park Aquatics,2
RSA,Gauteng,Centurion,Centurion Swimming,2
RSA,Gauteng,Roodepoort,Florida Swimming,2
RSA,Gauteng,Midrand,Midrand Aquatics,2
RSA,Gauteng,Pretoria,Player Swimming,2
RSA,Gauteng,Johannesburg,Quest Aquatics,2
RSA,Gauteng,Boksburg,Soul Swimming,2
RSA,Gauteng,Randburg,Randburg Aquatics,2
RSA,Gauteng,Sandton,Sandton Seals,2
RSA,Gauteng,Pretoria,AQUATZ,2
RSA,KwaZulu-Natal,Durban,Seagulls Swimming Club,5
RSA,KwaZulu-Natal,Durban,Action Swim Academy,4
RSA,KwaZulu-Natal,Durban,Westville Swimming,4
RSA,KwaZulu-Natal,Pietermaritzburg,Seals PMB,3
RSA,KwaZulu-Natal,Kloof,Kloof ASC,3
RSA,KwaZulu-Natal,Durban,Totnes Swimming,3
RSA,KwaZulu-Natal,Amanzimtoti,Amanzimtoti SC,2
RSA,KwaZulu-Natal,Richards Bay,Ushaka Swimming,2
RSA,KwaZulu-Natal,Durban,Sydenham Swimming,2
RSA,KwaZulu-Natal,Newcastle,Newcastle Aquatics,2
RSA,KwaZulu-Natal,Pinetown,Pinetown ASC,2
RSA,KwaZulu-Natal,Durban,Beavers Swimming,2
RSA,Western Cape,Cape Town,Vineyards SC,5
RSA,Western Cape,Cape Town,Tygerberg Aquatics,4
RSA,Western Cape,Cape Town,Cybersmart Aquatics,4
RSA,Western Cape,Stellenbosch,Maties Swimming,5
RSA,Western Cape,Cape Town,Camps Bay Swimming,3
RSA,Western Cape,Cape Town,Marlin Swimming Club,3
RSA,Western Cape,Cape Town,Swimlab Aquatic,3
RSA,Western Cape,Bellville,Bellville Aquatics,3
RSA,Western Cape,Somerset West,Somerset West Aquatics,2
RSA,Western Cape,Paarl,Paarl Aquarius,2
RSA,Western Cape,George,George Swimming Club,2
RSA,Western Cape,Cape Town,Khayelitsha Aquatics,2
RSA,Western Cape,Cape Town,Blue Downs Swimming,2
RSA,Western Cape,Cape Town,Quick Silver,2
RSA,Western Cape,Knysna,Knysna Dragons,2
RSA,Eastern Cape,Gqeberha,PEA Swimming Club,4
RSA,Eastern Cape,Gqeberha,Infinity Swimming,4
RSA,Eastern Cape,East London,Harlequins Aquatic,3
RSA,Eastern Cape,Gqeberha,Aquabear Swimming,3
RSA,Eastern Cape,East London,Buffalo City Aquatics,2
RSA,Free State,Bloemfontein,Bloemfontein Seals,4
RSA,Free State,Bloemfontein,Otters Rustenburg,3
RSA,Free State,Welkom,Welkom Aquatics,2
RSA,North West,Potchefstroom,Potchefstroom SC,3
RSA,North West,Rustenburg,Rustenburg Swimming,2
RSA,North West,Klerksdorp,Klerksdorp Aquatics,2
RSA,Mpumalanga,Nelspruit,Uniswim Nelspruit,3
RSA,Mpumalanga,Witbank,Witbank Swimming,2
KOR,Seoul,Seoul,Seoul Swimming Federation,5
KOR,Seoul,Seoul,Korea National Sport Univ,5
KOR,Seoul,Seoul,Seoul Phys Ed High,4
KOR,Seoul,Seoul,Gangnam Aquatics,4
KOR,Seoul,Seoul,Jamsil Swim Club,3
KOR,Seoul,Seoul,Seocho Dolphins,3
KOR,Seoul,Seoul,Mapo Water Sports,3
KOR,Seoul,Seoul,Songpa Swimming,3
KOR,Seoul,Seoul,Dongdaemun Aquatics,2
KOR,Seoul,Seoul,Yongsan Swim Team,2
KOR,Seoul,Seoul,Seongdong Sea Lions,2
KOR,Seoul,Seoul,Nowon Swim Club,2
KOR,Seoul,Seoul,Gwanak Aquatics,2
KOR,Seoul,Seoul,Yangcheon Swim,2
KOR,Seoul,Seoul,Gangseo Blue Water,2
KOR,Gyeonggi,Suwon,Suwon City Hall,5
KOR,Gyeonggi,Goyang,Goyang City Hall,4
KOR,Gyeonggi,Seongnam,Seongnam Aquatics,4
KOR,Gyeonggi,Anyang,Anyang Dolphins,4
KOR,Gyeonggi,Yongin,Yongin Swim Team,3
KOR,Gyeonggi,Bucheon,Bucheon Aquatics,3
KOR,Gyeonggi,Ansan,Ansan Water Sports,3
KOR,Gyeonggi,Hwaseong,Hwaseong Swimming,3
KOR,Gyeonggi,Namyangju,Namyangju Blue,2
KOR,Gyeonggi,Pyeongtaek,Pyeongtaek Swim,2
KOR,Gyeonggi,Gimpo,Gimpo Aquatics,2
KOR,Gyeonggi,Gwangmyeong,Gwangmyeong Swim,2
KOR,Gyeonggi,Gunpo,Gunpo Dolphins,2
KOR,Gyeonggi,Icheon,Icheon Aquatics,2
KOR,Gyeonggi,Osan,Osan Sea Lions,2
KOR,Busan,Busan,Busan Sports Council,4
KOR,Busan,Busan,Dong-A University,4
KOR,Busan,Busan,Haeundae Swim Club,3
KOR,Busan,Busan,Suyeong Aquatics,3
KOR,Busan,Busan,Nam-gu Dolphins,2
KOR,Busan,Busan,Seomyeon Swim Team,2
KOR,Busan,Busan,Buk-gu Water Sports,2
KOR,Busan,Busan,Geumjeong Aquatics,2
KOR,Incheon,Incheon,Incheon City Hall,4
KOR,Incheon,Incheon,Incheon Phys Ed High,4
KOR,Incheon,Incheon,Yeonsu Aquatics,3
KOR,Incheon,Incheon,Namdong Swim Team,2
KOR,Incheon,Incheon,Bupyeong Dolphins,2
KOR,Daegu,Daegu,Daegu Metro Swim Team,4
KOR,Daegu,Daegu,Suseong Aquatics,3
KOR,Daegu,Daegu,Dalseo Swim Club,2
KOR,Daegu,Daegu,Dong-gu Water Sports,2
KOR,Gwangju,Gwangju,Gwangju Sports Council,4
KOR,Gwangju,Gwangju,Buk-gu Swimming,3
KOR,Gwangju,Gwangju,Seo-gu Aquatics,2
KOR,Daejeon,Daejeon,Daejeon Swim Team,4
KOR,Daejeon,Daejeon,Yuseong Dolphins,3
KOR,Daejeon,Daejeon,Seo-gu Aquatics,2
KOR,Ulsan,Ulsan,Ulsan City Hall,3
KOR,Ulsan,Ulsan,Nam-gu Swim Club,2
KOR,Jeju,Jeju City,Jeju Provincial Swim,4
KOR,Jeju,Seogwipo,Seogwipo Aquatics,2
KOR,Gangwon,Chuncheon,Gangwon Provincial,3
KOR,Chungcheongnam,Cheonan,Cheonan City Hall,3
KOR,Jeollabuk,Jeonju,Jeonju Aquatics,3
ROU,Bucuresti,Bucuresti,Steaua Bucuresti,5
ROU,Bucuresti,Bucuresti,Dinamo Bucuresti,5
ROU,Bucuresti,Bucuresti,CSM Bucuresti,5
ROU,Bucuresti,Bucuresti,Olimpia Bucuresti,4
ROU,Bucuresti,Bucuresti,Sportul Studentesc,4
ROU,Bucuresti,Bucuresti,Aqua Team Bucuresti,3
ROU,Bucuresti,Bucuresti,Renovatio Sport Club,3
ROU,Bucuresti,Bucuresti,Bucharest Sport Club,3
ROU,Bucuresti,Bucuresti,Navi Bucuresti,2
ROU,Bucuresti,Bucuresti,Delfinul Bucuresti,2
ROU,Cluj,Cluj-Napoca,Universitatea Cluj,4
ROU,Cluj,Cluj-Napoca,CSM Cluj,3
ROU,Cluj,Cluj-Napoca,Politehnica Cluj,2
ROU,Timis,Timisoara,CSM Timisoara,4
ROU,Timis,Timisoara,Aquasport Timisoara,3
ROU,Timis,Timisoara,Delfin Timisoara,2
ROU,Constanta,Constanta,Farul Constanta,4
ROU,Constanta,Constanta,Ateneu Constanta,3
ROU,Constanta,Constanta,Palatul Copiilor Constanta,2
ROU,Brasov,Brasov,Corona Brasov,3
ROU,Brasov,Brasov,CSM Brasov,3
ROU,Iasi,Iasi,Politehnica Iasi,3
ROU,Iasi,Iasi,CSM Iasi,2
ROU,Arad,Arad,CSM Arad,3
ROU,Arad,Arad,Vinga Arad,2
ROU,Bihor,Oradea,CSM Oradea,3
ROU,Arges,Pitesti,CSM Pitesti,3
ROU,Prahova,Ploiesti,Petrolul Ploiesti,3
ROU,Maramures,Baia Mare,LPS Baia Mare,2
ROU,Sibiu,Sibiu,Sibiu Sport Club,2
LTU,Vilnius,Vilnius,Sostines SC,5
LTU,Vilnius,Vilnius,Vilniaus MSC,4
LTU,Vilnius,Vilnius,Impuls PA,3
LTU,Vilnius,Vilnius,Olimpija Vilnius,3
LTU,Vilnius,Vilnius,Koralis Vilnius,2
LTU,Vilnius,Vilnius,Vilniaus Vanduo,2
LTU,Vilnius,Vilnius,Sveikatos Banga,2
LTU,Vilnius,Vilnius,Žuvėdra Vilnius,2
LTU,Kaunas,Kaunas,Kauno PM,5
LTU,Kaunas,Kaunas,Kauno SM Startas,4
LTU,Kaunas,Kaunas,Banga Kaunas,3
LTU,Kaunas,Kaunas,Klausuciu Kaunas,3
LTU,Kaunas,Kaunas,Kauno Vandenys,2
LTU,Kaunas,Kaunas,Dainava Kaunas,2
LTU,Kaunas,Kaunas,Silainiai SC,2
LTU,Klaipeda,Klaipeda,Gintaro SC,4
LTU,Klaipeda,Klaipeda,Klaipedos MSC,3
LTU,Klaipeda,Klaipeda,Bure Klaipeda,2
LTU,Klaipeda,Klaipeda,Viesulas Klaipeda,2
LTU,Siauliai,Siauliai,Siauliu Delfinas,4
LTU,Siauliai,Siauliai,Siauliu PC,3
LTU,Siauliai,Siauliai,Gintaras Siauliai,2
LTU,Panevezys,Panevezys,Panevezio Zemyna,4
LTU,Panevezys,Panevezys,Panevezio SG,3
LTU,Panevezys,Panevezys,Aukstaitija Panevezys,2
LTU,Alytus,Alytus,Alytaus SRC,3
LTU,Alytus,Alytus,Dzūkija Alytus,2
LTU,Marijampole,Marijampole,Marijampoles SC,2
LTU,Anyksciai,Anyksciai,Anyksciu KKSC,2
LTU,Utena,Utena,Utenos DSC,2
BEL,Antwerpen,Antwerpen,BRABO,5
BEL,Antwerpen,Antwerpen,Antwerp Natation,4
BEL,Antwerpen,Mechelen,Racing Swimming Club,3
BEL,Antwerpen,Geel,Zwemclub Geel,3
BEL,Antwerpen,Brasschaat,Brasschaatse Zwemclub,2
BEL,Antwerpen,Turnhout,Turnhoutse Zwemclub,2
BEL,Brussels,Brussels,Cercle Natation Bruxelles,5
BEL,Brussels,Brussels,Bouledogues de Bruxelles,4
BEL,Brussels,Brussels,Brussels Triton,3
BEL,Brussels,Ixelles,Ixelles Macaques,2
BEL,Oost-Vlaanderen,Gent,MEGA Zwemteam,5
BEL,Oost-Vlaanderen,Gent,Gentse Zwemvereniging,4
BEL,Oost-Vlaanderen,Sint-Niklaas,Sint-Niklase Zwemclub,3
BEL,Oost-Vlaanderen,Aalst,Aalsterse Zwemvereniging,2
BEL,Liège,Liège,Liège Natation,5
BEL,Liège,Liège,Mosan,4
BEL,Liège,Seraing,Esneux Natation,3
BEL,Liège,Verviers,Verviers Natation,2
BEL,Vlaams-Brabant,Leuven,Leuven Aquatics,4
BEL,Vlaams-Brabant,Tienen,Tiense Zwemmers,3
BEL,Vlaams-Brabant,Halle,Halse Zwemclub,2
BEL,West-Vlaanderen,Brugge,Brugse Zwemkring,4
BEL,West-Vlaanderen,Kortrijk,Kortrijkse Zwemkring,3
BEL,West-Vlaanderen,Oostende,Royal Ostend Swimming,2
BEL,Hainaut,Charleroi,Charleroi Hélios,4
BEL,Hainaut,Mons,Mons Hainaut Natation,3
BEL,Hainaut,Tournai,Tournai Natation,2
BEL,Limburg,Hasselt,Hasseltse Zwemvereniging,3
BEL,Limburg,Genk,Genker Zwemvereniging,2
BEL,Namur,Namur,Namur Olympic Club,3
SUI,Zürich,Uster,SC Uster Wallisellen,5
SUI,Genève,Genève,Genève Natation,5
SUI,Zürich,Zürich,Limmat Sharks Zürich,5
SUI,Bern,Bern,Schwimmclub Bern,4
SUI,Vaud,Lausanne,Lausanne Aquatique,4
SUI,Basel-Stadt,Basel,SV Basel,4
SUI,Ticino,Lugano,Lugano Aquatics,4
SUI,Grisons,Chur,Schwimmclub Chur,3
SUI,Ticino,Locarno,Nuoto Sport Locarno,3
SUI,Aargau,Aarau,Schwimmclub Aarau,3
SUI,Zürich,Winterthur,Schwimmclub Winterthur,3
SUI,St. Gallen,St. Gallen,Schwimmclub St. Gallen,3
SUI,Luzern,Luzern,Schwimmclub Luzern,3
SUI,Fribourg,Fribourg,Fribourg Natation,3
SUI,Neuchâtel,Neuchâtel,Red-Fish Neuchâtel,3
SUI,Valais,Sion,Sion Natation,3
SUI,Thurgau,Frauenfeld,Schwimmclub Frauenfeld,2
SUI,Ticino,Bellinzona,Turrita Nuoto,2
SUI,Schaffhausen,Schaffhausen,SC Schaffhausen,2
SUI,Zug,Zug,Schwimmclub Zug,2
SUI,Vaud,Morges,Morges Natation,2
SUI,Vaud,Vevey,Vevey Natation,2
SUI,Zürich,Meilen,Schwimmclub Meilen,2
SUI,Zürich,Horgen,Schwimmclub Horgen,2
SUI,Basel-Landschaft,Liestal,SC Liestal,2
SUI,Genève,Carouge,Carouge Natation,2
SUI,Genève,Lancy,Lancy Natation,2
SUI,Bern,Thun,Schwimmclub Thun,2
SUI,Bern,Biel,Swim Team Biel-Bienne,2
SUI,Solothurn,Solothurn,Schwimmclub Solothurn,2
